사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자,빈값,,,,,,
20211001,1호선,동묘앞,8313,8702,20211004,,,,,,,
20211001,1호선,시청,20150,20341,20211004,,,,,,,
20211001,1호선,종각,32153,30932,20211004,,,,,,,
20211001,1호선,종로3가,24611,22445,20211004,,,,,,,
20211001,1호선,종로5가,21953,21732,20211004,,,,,,,
20211001,1호선,동대문,10812,10061,20211004,,,,,,,
20211001,1호선,서울역,42350,41754,20211004,,,,,,,
20211001,1호선,신설동,13907,13669,20211004,,,,,,,
20211001,1호선,제기동,16455,16775,20211004,,,,,,,
20211001,1호선,청량리(서울시립대입구),19657,19482,20211004,,,,,,,
20211002,1호선,서울역,27912,30215,20211005,,,,,,,
20211002,1호선,동묘앞,10868,11022,20211005,,,,,,,
20211002,1호선,종각,15950,14612,20211005,,,,,,,26
20211002,1호선,종로3가,21164,19652,20211005,,,,,,,
20211002,1호선,종로5가,16986,16811,20211005,,,,,,,
20211002,1호선,동대문,9894,9300,20211005,,,,,,,
20211002,1호선,신설동,8994,8457,20211005,,,,,,,
20211002,1호선,제기동,13916,14155,20211005,,,,,,,
20211002,1호선,청량리(서울시립대입구),16432,16590,20211005,,,,,,,
20211002,1호선,시청,9264,9301,20211005,,,,,,,
20211003,1호선,서울역,22579,20775,20211006,,,,,,,
20211003,1호선,동묘앞,12249,12387,20211006,,,,,,,
20211003,1호선,시청,7295,7213,20211006,,,,,,,
20211003,1호선,종각,11484,10121,20211006,,,,,,,
20211003,1호선,종로3가,14455,12486,20211006,,,,,,,
20211003,1호선,종로5가,8165,8441,20211006,,,,,,,
20211003,1호선,동대문,8421,9063,20211006,,,,,,,
20211003,1호선,신설동,6810,6701,20211006,,,,,,,
20211003,1호선,제기동,8933,9104,20211006,,,,,,,
20211003,1호선,청량리(서울시립대입구),12328,12248,20211006,,,,,,,
20211004,1호선,청량리(서울시립대입구),13769,13825,20211007,,,,,,,
20211004,1호선,제기동,12532,13046,20211007,,,,,,,
20211004,1호선,신설동,7266,7214,20211007,,,,,,,
20211004,1호선,동대문,8231,8238,20211007,,,,,,,
20211004,1호선,종로5가,16504,15255,20211007,,,,,,,
20211004,1호선,종로3가,17696,16211,20211007,,,,,,,
20211004,1호선,종각,12500,11842,20211007,,,,,,,
20211004,1호선,시청,7150,7512,20211007,,,,,,,
20211004,1호선,동묘앞,6180,6578,20211007,,,,,,,
20211004,1호선,서울역,24466,21330,20211007,,,,,,,
20211005,1호선,서울역,38303,36946,20211008,,,,,,,
20211005,1호선,종각,32628,31900,20211008,,,,,,,
20211005,1호선,종로3가,23480,21768,20211008,,,,,,,
20211005,1호선,종로5가,21405,21454,20211008,,,,,,,
20211005,1호선,동대문,10155,9548,20211008,,,,,,,
20211005,1호선,신설동,13392,13325,20211008,,,,,,,
20211005,1호선,제기동,15747,16036,20211008,,,,,,,
20211005,1호선,청량리(서울시립대입구),18035,18090,20211008,,,,,,,
20211005,1호선,동묘앞,7294,7532,20211008,,,,,,,
20211005,1호선,시청,20561,20644,20211008,,,,,,,
20211006,1호선,청량리(서울시립대입구),17120,16850,20211009,,,,,,,
20211006,1호선,제기동,14233,14303,20211009,,,,,,,
20211006,1호선,신설동,13405,13133,20211009,,,,,,,
