기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
2021.3/4,종로구,사직동,"4,697","2,361",947,702,513,121,32,16,2,0,3
2021.3/4,종로구,삼청동,"1,253",641,257,164,136,36,14,5,0,0,0
2021.3/4,종로구,부암동,"4,285","1,699",992,762,609,163,41,13,2,1,3
2021.3/4,종로구,평창동,"7,472","2,420","1,811","1,490","1,283",357,75,19,12,4,1
2021.3/4,종로구,무악동,"3,072",690,729,740,699,174,25,13,0,1,1
2021.3/4,종로구,교남동,"4,450","1,638","1,068",905,666,133,31,6,2,1,0
2021.3/4,종로구,가회동,"2,015",939,444,323,223,57,21,5,2,0,1
2021.3/4,종로구,종로1.2.3.4가동,"5,242","4,181",522,283,192,45,14,4,1,0,0
2021.3/4,종로구,종로5·6가동,"3,400","2,424",495,263,170,40,6,2,0,0,0
2021.3/4,종로구,이화동,"4,305","2,701",751,442,308,80,13,8,1,1,0
2021.3/4,종로구,창신1동,"2,851","1,709",569,302,190,60,17,4,0,0,0
2021.3/4,종로구,창신2동,"4,049","1,983",952,548,414,123,22,5,2,0,0
2021.3/4,종로구,창신3동,"2,817",923,706,619,403,136,28,0,2,0,0
2021.3/4,종로구,숭인1동,"2,970","1,447",678,431,311,79,22,2,0,0,0
2021.3/4,종로구,숭인2동,"6,234","4,331",958,500,345,81,15,4,0,0,0
2021.3/4,종로구,청운효자동,"5,255","2,012","1,158","1,021",796,196,49,15,6,2,0
2021.3/4,종로구,혜화동,"9,285","5,674","1,482","1,032",817,199,54,19,5,0,3
2021.3/4,중구,소공동,"1,280",773,234,178,75,12,4,2,0,1,1
2021.3/4,중구,회현동,"2,782","1,721",464,291,226,57,13,8,1,1,0
2021.3/4,중구,명동,"1,532","1,069",226,125,79,20,5,3,2,0,3
2021.3/4,중구,필동,"2,501","1,680",394,231,137,48,8,1,1,0,1
2021.3/4,중구,장충동,"2,739","1,777",449,242,192,56,18,1,1,0,3
2021.3/4,중구,광희동,"3,337","2,286",542,292,153,44,17,1,1,0,1
2021.3/4,중구,을지로동,"1,345","1,095",154,52,31,10,2,1,0,0,0
2021.3/4,중구,신당5동,"5,359","2,707","1,208",739,538,130,28,5,3,1,0
2021.3/4,중구,황학동,"6,933","3,839","1,530",883,522,122,27,7,1,1,1
2021.3/4,중구,중림동,"5,672","2,423","1,281","1,022",740,158,34,12,2,0,0
2021.3/4,중구,신당동,"4,679","3,007",868,442,270,69,17,5,1,0,0
2021.3/4,중구,다산동,"6,895","3,216","1,672","1,032",753,168,37,12,3,0,2
2021.3/4,중구,약수동,"7,847","3,090","2,143","1,423",908,210,59,8,2,0,4
2021.3/4,중구,청구동,"6,270","2,481","1,616","1,106",820,186,52,5,2,2,0
2021.3/4,중구,동화동,"4,096","1,152","1,046",868,754,202,54,15,4,0,1
2021.3/4,용산구,후암동,"8,434","4,140","1,836","1,270",877,236,45,16,6,4,4
2021.3/4,용산구,용산2가동,"5,248","2,865","1,199",658,397,106,17,5,1,0,0
2021.3/4,용산구,남영동,"5,171","3,973",613,292,225,46,15,6,0,0,1
2021.3/4,용산구,원효로2동,"5,963","2,214","1,335","1,169",952,211,59,13,4,2,4
2021.3/4,용산구,효창동,"4,389","1,612","1,054",829,667,166,47,10,1,1,2
2021.3/4,용산구,용문동,"5,363","2,046","1,330","1,030",731,173,41,7,3,2,0
2021.3/4,용산구,이촌1동,"9,693","2,110","2,297","2,439","2,202",485,110,35,11,3,1
2021.3/4,용산구,이촌2동,"3,707","1,297","1,025",739,476,133,24,10,3,0,0
2021.3/4,용산구,이태원1동,"3,635","2,079",773,447,245,64,21,4,0,0,2
2021.3/4,용산구,이태원2동,"4,928","2,679","1,090",644,373,102,30,7,1,1,1
2021.3/4,용산구,서빙고동,"5,308","1,780","1,171",948,"1,022",314,59,12,1,0,1
2021.3/4,용산구,보광동,"7,480","4,100","1,664",949,593,137,33,3,1,0,0
2021.3/4,용산구,청파동,"11,051","6,680","2,079","1,168",834,223,48,12,2,1,4
2021.3/4,용산구,원효로1동,"8,086","4,033","1,694","1,212",923,177,35,5,4,2,1
2021.3/4,용산구,한강로동,"11,704","6,321","2,468","1,571","1,054",206,56,17,7,2,2
2021.3/4,용산구,한남동,"11,017","5,991","2,325","1,435",922,252,67,15,7,2,1
2021.3/4,성동구,왕십리2동,"7,433","2,909","1,737","1,420","1,064",218,68,11,5,0,1
2021.3/4,성동구,마장동,"10,959","5,171","2,382","1,654","1,356",292,75,15,10,2,2
2021.3/4,성동구,사근동,"8,000","5,866","1,007",548,438,116,17,8,0,0,0
2021.3/4,성동구,행당1동,"6,444","2,713","1,406","1,193",893,188,35,12,2,1,1
2021.3/4,성동구,행당2동,"9,268","2,361","2,455","2,200","1,814",328,79,23,5,2,1
2021.3/4,성동구,응봉동,"6,087","1,651","1,434","1,442","1,235",256,50,10,7,1,1
2021.3/4,성동구,금호1가동,"6,600","2,194","1,682","1,426","1,029",213,46,10,0,0,0
2021.3/4,성동구,금호4가동,"6,380","2,276","1,609","1,374",911,161,32,13,4,0,0
2021.3/4,성동구,성수1가1동,"7,807","3,372","1,768","1,299","1,098",212,47,6,4,1,0
2021.3/4,성동구,성수1가2동,"6,189","2,832","1,374","1,015",758,166,35,6,2,1,0
2021.3/4,성동구,성수2가1동,"8,211","4,114","1,792","1,223",863,166,40,9,3,1,0
2021.3/4,성동구,성수2가3동,"5,637","2,973","1,125",744,589,150,40,12,2,0,2
2021.3/4,성동구,송정동,"5,595","2,977","1,176",752,521,135,27,6,0,1,0
2021.3/4,성동구,용답동,"7,099","4,564","1,233",687,473,105,27,8,0,1,1
2021.3/4,성동구,왕십리도선동,"11,875","4,736","2,531","2,277","1,859",352,82,25,10,2,1
2021.3/4,성동구,금호2.3가동,"10,111","3,623","2,608","2,078","1,424",298,56,21,2,0,1
2021.3/4,성동구,옥수동,"10,925","3,222","2,965","2,552","1,713",376,72,19,4,2,0
2021.3/4,광진구,화양동,"17,610","14,301","1,983",709,496,86,25,8,1,0,1
2021.3/4,광진구,군자동,"11,306","6,793","2,083","1,313",866,183,50,13,3,1,1
2021.3/4,광진구,중곡1동,"8,363","4,410","1,910","1,092",743,159,38,8,2,1,0
2021.3/4,광진구,중곡2동,"10,637","4,905","2,543","1,649","1,185",281,55,12,5,2,0
2021.3/4,광진구,중곡3동,"8,466","4,247","1,996","1,160",836,189,28,8,2,0,0
2021.3/4,광진구,중곡4동,"13,167","5,179","3,281","2,481","1,719",387,92,21,4,2,1
