자치구,1인세대,2인세대,3인세대,4인세대,5인세대
강북구,5729,2217,1277,851,161
강북구,3077,2135,1299,816,207
강북구,2486,2256,1420,1016,255
강북구,4891,2493,1587,1020,267
강북구,3816,2649,1784,1195,313
강북구,7362,2690,1622,966,248
강북구,4659,2774,1910,1375,354
강북구,6320,2528,1556,1003,245
강북구,6075,3371,2314,1744,386
강북구,6503,3332,2015,1362,303
강북구,2615,2580,2758,2857,590
강북구,3772,2622,1656,1172,285
강북구,5978,3788,2522,1653,405
강남구,2765,1567,1251,1130,254
강남구,9652,2416,1129,715,201
강남구,6453,2124,1482,1098,231
강남구,2059,1207,1014,898,260
강남구,5745,2319,2291,2276,447
강남구,572,1034,1984,2944,588
강남구,5686,1703,1311,1254,281
강남구,17730,3453,1597,1037,270
강남구,6572,2287,2827,3112,545
강남구,2722,1649,1841,1862,355
강남구,2212,2464,2983,3228,650
강남구,749,632,499,512,125
강남구,3482,2269,1999,1806,358
강남구,1480,1670,2009,2410,417
강남구,3304,1836,1170,821,221
강남구,2428,1855,1597,1327,229
강남구,3628,2304,1091,602,132
강남구,6141,4053,3252,3155,997
강남구,2850,2473,2322,2030,477
강남구,4542,2356,2098,1832,433
강남구,2747,2392,3123,3696,685
강남구,1635,2076,2393,2576,541
